Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_09_2025,1,KUMAI,2025-05-29 07:00:00,32.0,SURABAYA,0.7312425906775666
KM AWU,VOY_09_2025,2,SURABAYA,2025-05-31 18:00:00,7.0,BENOA,0.14174426687280892
KM AWU,VOY_09_2025,3,BENOA,2025-06-02 04:00:00,6.0,BIMA,0.16281144595393415
KM AWU,VOY_09_2025,4,BIMA,2025-06-03 07:00:00,2.0,WAINGAPU,0.746427821910488
KM AWU,VOY_09_2025,5,WAINGAPU,2025-06-03 23:00:00,3.0,ENDE,0.617233152215246
KM AWU,VOY_09_2025,6,ENDE,2025-06-04 11:00:00,2.0,KUPANG,0.5681528207581512
KM AWU,VOY_09_2025,7,KUPANG,2025-06-05 02:00:00,5.0,KALABAHI,0.7016483554485103
KM AWU,VOY_09_2025,8,KALABAHI,2025-06-05 20:00:00,3.0,KUPANG,0.5769652525027018
KM AWU,VOY_09_2025,9,KUPANG,2025-06-06 12:00:00,5.0,ENDE,0.16087700244582212
KM AWU,VOY_09_2025,10,ENDE,2025-06-07 06:00:00,2.0,WAINGAPU,0.47741893377965916
KM AWU,VOY_09_2025,11,WAINGAPU,2025-06-07 17:00:00,3.0,BIMA,0.5461167031807531
KM AWU,VOY_09_2025,12,BIMA,2025-06-08 10:00:00,2.0,BENOA,0.5210998546490939
KM AWU,VOY_09_2025,13,BENOA,2025-06-09 09:00:00,4.0,SURABAYA,0.9399901728391475
KM AWU,VOY_09_2025,14,SURABAYA,2025-06-10 17:00:00,4.0,KUMAI,0.5272404658668346
KM AWU,VOY_09_2025,15,KUMAI,2025-06-12 01:00:00,0.0,,0.0
KM AWU,VOY_10_2025,1,KUMAI,2025-06-12 03:00:00,35.0,SURABAYA,0.2364284481884442
KM AWU,VOY_10_2025,2,SURABAYA,2025-06-14 18:00:00,7.0,BENOA,0.12556891833134504
KM AWU,VOY_10_2025,3,BENOA,2025-06-16 04:00:00,6.0,BIMA,0.5533379257648838
KM AWU,VOY_10_2025,4,BIMA,2025-06-17 07:00:00,2.0,WAINGAPU,0.9760405897033559
KM AWU,VOY_10_2025,5,WAINGAPU,2025-06-17 23:00:00,3.0,ENDE,0.4769822754005354
KM AWU,VOY_10_2025,6,ENDE,2025-06-18 11:00:00,2.0,KUPANG,0.5052792842758704
KM AWU,VOY_10_2025,7,KUPANG,2025-06-19 02:00:00,5.0,KALABAHI,0.5723345407069498
KM AWU,VOY_10_2025,8,KALABAHI,2025-06-19 20:00:00,4.0,KUPANG,0.20009423684749064
KM AWU,VOY_10_2025,9,KUPANG,2025-06-20 13:00:00,5.0,ENDE,0.0
KM AWU,VOY_10_2025,10,ENDE,2025-06-21 07:00:00,2.0,WAINGAPU,0.833898060600336
KM AWU,VOY_10_2025,11,WAINGAPU,2025-06-21 18:00:00,3.0,BIMA,0.4538734952093423
KM AWU,VOY_10_2025,12,BIMA,2025-06-22 11:00:00,2.0,BENOA,0.6782221981141794
KM AWU,VOY_10_2025,13,BENOA,2025-06-23 10:00:00,5.0,SURABAYA,0.669870769199375
KM AWU,VOY_10_2025,14,SURABAYA,2025-06-24 19:00:00,4.0,KUMAI,0.3558853795758168
KM AWU,VOY_10_2025,15,KUMAI,2025-06-26 03:00:00,0.0,,0.3892337054280701
KM KELUD,VOY_21_2025,1,TANJUNG PRIOK,2025-05-30 04:00:00,17.0,BATAM,0.3342699154638679
KM KELUD,VOY_21_2025,2,BATAM,2025-06-01 05:00:00,5.0,TANJUNG BALAI KARIMUN,0.6502532542096887
KM KELUD,VOY_21_2025,3,TANJUNG BALAI KARIMUN,2025-06-01 13:00:00,1.0,BELAWAN,0.5238258902842807
KM KELUD,VOY_21_2025,4,BELAWAN,2025-06-02 13:00:00,24.0,TANJUNG BALAI KARIMUN,0.3940851168361463
KM KELUD,VOY_21_2025,5,TANJUNG BALAI KARIMUN,2025-06-04 12:00:00,1.0,BATAM,0.6443688427334016
KM KELUD,VOY_21_2025,6,BATAM,2025-06-04 16:00:00,4.0,TANJUNG PRIOK,0.11553800062339445
KM KELUD,VOY_21_2025,7,TANJUNG PRIOK,2025-06-06 04:00:00,0.0,,0.1775896553109273
KM KELUD,VOY_22_2025,1,TANJUNG PRIOK,2025-06-06 04:00:00,17.0,BATAM,0.4257640499584544
KM KELUD,VOY_22_2025,2,BATAM,2025-06-08 05:00:00,5.0,TANJUNG BALAI KARIMUN,1.0
KM KELUD,VOY_22_2025,3,TANJUNG BALAI KARIMUN,2025-06-08 13:00:00,1.0,BELAWAN,0.5377842828155139
KM KELUD,VOY_22_2025,4,BELAWAN,2025-06-09 13:00:00,24.0,TANJUNG BALAI KARIMUN,0.0
KM KELUD,VOY_22_2025,5,TANJUNG BALAI KARIMUN,2025-06-11 12:00:00,1.0,BATAM,1.0
KM KELUD,VOY_22_2025,6,BATAM,2025-06-11 16:00:00,4.0,TANJUNG PRIOK,0.4519542077150728
KM KELUD,VOY_22_2025,7,TANJUNG PRIOK,2025-06-13 04:00:00,0.0,,1.0
KM KELUD,VOY_23_2025,1,TANJUNG PRIOK,2025-06-13 04:00:00,16.0,BATAM,0.9137730004292903
KM KELUD,VOY_23_2025,2,BATAM,2025-06-15 04:00:00,6.0,TANJUNG BALAI KARIMUN,0.7458705855497728
KM KELUD,VOY_23_2025,3,TANJUNG BALAI KARIMUN,2025-06-15 13:00:00,1.0,BELAWAN,0.5608345889733173
KM KELUD,VOY_23_2025,4,BELAWAN,2025-06-16 13:00:00,24.0,TANJUNG BALAI KARIMUN,0.31070746798726145
KM KELUD,VOY_23_2025,5,TANJUNG BALAI KARIMUN,2025-06-18 12:00:00,1.0,BATAM,0.0
KM KELUD,VOY_23_2025,6,BATAM,2025-06-18 16:00:00,4.0,TANJUNG PRIOK,0.9533559000421707
KM KELUD,VOY_23_2025,7,TANJUNG PRIOK,2025-06-20 04:00:00,0.0,,0.8554346836386144
KM KELUD,VOY_24_2025,1,TANJUNG PRIOK,2025-06-20 04:00:00,17.0,BATAM,0.5323355771076836
KM KELUD,VOY_24_2025,2,BATAM,2025-06-22 05:00:00,5.0,TANJUNG BALAI KARIMUN,0.8422510601178975
KM KELUD,VOY_24_2025,3,TANJUNG BALAI KARIMUN,2025-06-22 13:00:00,1.0,BELAWAN,0.19365382680454177
KM KELUD,VOY_24_2025,4,BELAWAN,2025-06-23 13:00:00,24.0,TANJUNG BALAI KARIMUN,0.4889725342162718
KM KELUD,VOY_24_2025,5,TANJUNG BALAI KARIMUN,2025-06-25 12:00:00,1.0,BATAM,0.7972677027981218
KM KELUD,VOY_24_2025,6,BATAM,2025-06-25 16:00:00,4.0,TANJUNG PRIOK,0.7227230249289275
KM KELUD,VOY_24_2025,7,TANJUNG PRIOK,2025-06-27 04:00:00,0.0,,0.7457630177752186
KM KELUD,VOY_25_2025,1,TANJUNG PRIOK,2025-06-27 04:00:00,16.0,BATAM,0.46077510395309196
KM KELUD,VOY_25_2025,2,BATAM,2025-06-29 04:00:00,6.0,TANJUNG BALAI KARIMUN,0.8199058164425973
KM KELUD,VOY_25_2025,3,TANJUNG BALAI KARIMUN,2025-06-29 13:00:00,1.0,BELAWAN,0.1866149486128215
KM KELUD,VOY_25_2025,4,BELAWAN,2025-06-30 13:00:00,24.0,TANJUNG BALAI KARIMUN,0.721582917349667
KM KELUD,VOY_25_2025,5,TANJUNG BALAI KARIMUN,2025-07-02 12:00:00,1.0,BATAM,0.6400728601218376
KM KELUD,VOY_25_2025,6,BATAM,2025-07-02 16:00:00,4.0,TANJUNG PRIOK,0.27101244414766384
KM KELUD,VOY_25_2025,7,TANJUNG PRIOK,2025-07-04 04:00:00,0.0,,0.4068822973428182
KM LAWIT,VOY_11_2025,1,KUMAI,2025-06-06 19:00:00,4.0,SURABAYA,0.7545702417893054
KM LAWIT,VOY_11_2025,1,KUMAI,2025-05-23 16:00:00,7.0,SURABAYA,0.4502443884669442
KM LAWIT,VOY_11_2025,2,SURABAYA,2025-06-08 03:00:00,5.0,BENOA,1.0
KM LAWIT,VOY_11_2025,2,SURABAYA,2025-05-25 03:00:00,5.0,SAMPIT,0.46142851210355873
KM LAWIT,VOY_11_2025,3,BENOA,2025-06-09 13:00:00,4.0,BIMA,0.07583057419965022
KM LAWIT,VOY_11_2025,3,SAMPIT,2025-05-26 16:00:00,19.0,SEMARANG,0.4592204080549269
KM LAWIT,VOY_11_2025,4,BIMA,2025-06-10 15:00:00,2.0,WAINGAPU,0.04641233964462324
KM LAWIT,VOY_11_2025,4,SEMARANG,2025-05-28 19:00:00,8.0,KUMAI,0.35766598584928977
KM LAWIT,VOY_11_2025,5,WAINGAPU,2025-06-11 08:00:00,3.0,ENDE,0.2648419305723224
KM LAWIT,VOY_11_2025,5,KUMAI,2025-05-30 04:00:00,2.0,SEMARANG,0.39423986999556077
KM LAWIT,VOY_11_2025,6,ENDE,2025-06-11 21:00:00,2.0,KALABAHI,0.8796223313913037
KM LAWIT,VOY_11_2025,6,SEMARANG,2025-05-31 07:00:00,2.0,KARIMUN JAWA,0.5701549973496021
KM LAWIT,VOY_11_2025,7,KALABAHI,2025-06-12 18:00:00,2.0,KUPANG,0.5602294673855032
