Ship,Port,Planned_ETA,Actual_RTA,Actual_ETD,Delay_Hours
KM BK SIGUNTANG,MAKASSAR,2025-01-06 04:00:00,2025-01-06 04:00:00,2025-01-06 10:00:00,0.0
KM PANGRANGO,AMBON,2025-01-06 06:00:00,2025-01-06 06:00:00,2025-01-06 20:00:00,0.0
KM BK RAYA,TAREMPA,2025-01-06 07:00:00,2025-01-06 07:00:00,2025-01-06 08:00:00,0.0
KM WILIS,ENDE,2025-01-06 07:00:00,2025-01-06 07:00:00,2025-01-06 09:00:00,0.0
KM JETLINER,KENDARI,2025-01-06 11:00:00,2025-01-06 11:00:00,2025-01-06 17:00:00,0.0
KM TIDAR,SURABAYA,2025-01-06 12:00:00,2025-01-06 12:00:00,2025-01-06 15:00:00,0.0
KM BK RAYA,LETUNG,2025-01-06 12:00:00,2025-01-06 12:00:00,2025-01-06 13:00:00,0.0
KM KELUD,BELAWAN,2025-01-06 14:00:00,2025-01-06 14:00:00,2025-01-07 08:00:00,0.0
KM LABOBAR,MANOKWARI,2025-01-06 14:00:00,2025-01-06 14:00:00,2025-01-06 16:00:00,0.0
KM BK SIGUNTANG,PARE-PARE,2025-01-06 15:00:00,2025-01-06 15:00:00,2025-01-06 19:00:00,0.0
KM TILONGKABILA,LABUAN BAJO,2025-01-06 19:00:00,2025-01-06 19:00:00,2025-01-06 21:00:00,0.0
KM CIREMAI,JAYAPURA,2025-01-06 20:00:00,2025-01-06 20:00:00,2025-01-07 01:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-01-06 21:00:00,2025-01-06 21:00:00,2025-01-06 23:00:00,0.0
KM BINAIYA,MAKASSAR,2025-01-06 22:00:00,2025-01-06 22:00:00,2025-01-07 03:00:00,0.0
KM GUNUNG DEMPO,MAKASSAR,2025-01-07 00:00:00,2025-01-07 03:00:00,2025-01-07 06:00:00,3.0
KM WILIS,KUPANG,2025-01-07 01:00:00,2025-01-07 01:00:00,2025-01-07 09:00:00,0.0
KM LABOBAR,NABIRE,2025-01-07 01:00:00,2025-01-07 01:00:00,2025-01-07 04:00:00,0.0
KM TATAMAILAU,AMBON,2025-01-07 02:00:00,2025-01-07 02:00:00,2025-01-07 04:00:00,0.0
KM BK RAYA,KIJANG,2025-01-07 03:00:00,2025-01-07 03:00:00,2025-01-07 06:00:00,0.0
KM TILONGKABILA,BIMA,2025-01-07 04:00:00,2025-01-07 04:00:00,2025-01-07 06:00:00,0.0
KM JETLINER,WANCI,2025-01-07 06:00:00,2025-01-07 06:00:00,2025-01-07 08:00:00,0.0
KM PANGRANGO,NAMROLE,2025-01-07 06:00:00,2025-01-07 06:00:00,2025-01-07 08:00:00,0.0
KM SINABUNG,SURABAYA,2025-01-07 09:00:00,2025-01-07 09:00:00,2025-01-07 19:00:00,0.0
KM BINAIYA,PARE-PARE,2025-01-07 09:00:00,2025-01-07 09:00:00,2025-01-07 11:00:00,0.0
KM KELIMUTU,PONTIANAK,2025-01-07 10:00:00,2025-01-07 10:00:00,2025-01-07 12:00:00,0.0
KM BK SIGUNTANG,BALIKPAPAN,2025-01-07 11:00:00,2025-01-07 11:00:00,2025-01-07 13:00:00,0.0
KM LAMBELU,PANTOLOAN,2025-01-07 12:00:00,2025-01-07 12:00:00,2025-01-07 14:00:00,0.0
KM DOBONSOLO,TANJUNG PRIOK,2025-01-07 14:00:00,2025-01-07 14:00:00,2025-01-08 10:00:00,0.0
KM LABOBAR,MANOKWARI,2025-01-07 14:00:00,2025-01-07 14:00:00,2025-01-07 16:00:00,0.0
KM SANGIANG,BITUNG,2025-01-07 17:00:00,2025-01-07 17:00:00,2025-01-09 14:00:00,0.0
KM PANGRANGO,AMBON,2025-01-07 18:00:00,2025-01-07 18:00:00,2025-01-08 00:00:00,0.0
KM EGON,WAINGAPU,2025-01-07 21:00:00,2025-01-07 21:00:00,2025-01-08 03:00:00,0.0
KM JETLINER,KENDARI,2025-01-07 21:00:00,2025-01-07 21:00:00,2025-01-07 23:00:00,0.0
KM BK RAYA,BLINYU,2025-01-07 22:00:00,2025-01-07 22:00:00,2025-01-07 23:00:00,0.0
KM CIREMAI,SERUI,2025-01-07 23:00:00,2025-01-07 23:00:00,2025-01-08 01:00:00,0.0
KM TIDAR,MAKASSAR,2025-01-07 23:00:00,2025-01-07 23:00:00,2025-01-08 02:00:00,0.0
KM TILONGKABILA,LEMBAR,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 02:00:00,0.0
KM WILIS,KALABAHI,2025-01-08 02:00:00,2025-01-08 02:00:00,2025-01-08 14:00:00,0.0
KM DOROLONDA,SURABAYA,2025-01-08 04:00:00,2025-01-08 04:00:00,2025-01-08 13:00:00,0.0
KM AWU,KUMAI,2025-01-08 04:00:00,2025-01-08 04:00:00,2025-01-08 14:00:00,0.0
KM LAWIT,SEMARANG,2025-01-08 04:00:00,2025-01-08 04:00:00,2025-01-08 10:00:00,0.0
KM LAWIT,SEMARANG,2025-01-08 04:00:00,2025-01-08 10:00:00,2025-01-08 16:00:00,0.0
KM NGGAPULU,TANJUNG PRIOK,2025-01-08 05:00:00,2025-01-08 10:00:00,2025-01-09 02:00:00,5.0
KM LABOBAR,SORONG,2025-01-08 05:00:00,2025-01-08 05:00:00,2025-01-08 08:00:00,0.0
KM KELUD,BATAM,2025-01-08 07:00:00,2025-01-08 07:00:00,2025-01-08 14:00:00,0.0
KM JETLINER,RAHA,2025-01-08 07:00:00,2025-01-08 07:00:00,2025-01-08 08:00:00,0.0
KM TATAMAILAU,TUAL,2025-01-08 08:00:00,2025-01-08 08:00:00,2025-01-08 11:00:00,0.0
KM TILONGKABILA,BENOA,2025-01-08 08:00:00,2025-01-08 08:00:00,2025-01-08 08:00:00,0.0
KM TILONGKABILA,BENOA,2025-01-08 08:00:00,2025-01-08 08:00:00,2025-01-09 08:00:00,0.0
KM LAMBELU,TARAKAN,2025-01-08 10:00:00,2025-01-08 10:00:00,2025-01-08 13:00:00,0.0
KM KELIMUTU,TANJUNG PANDAN,2025-01-08 11:00:00,2025-01-08 11:00:00,2025-01-08 13:00:00,0.0
KM BK SIGUNTANG,TARAKAN,2025-01-08 13:00:00,2025-01-08 13:00:00,2025-01-08 17:00:00,0.0
KM GUNUNG DEMPO,AMBON,2025-01-08 14:00:00,2025-01-08 14:00:00,2025-01-08 16:00:00,0.0
KM PANGRANGO,BANDA,2025-01-08 14:00:00,2025-01-08 14:00:00,2025-01-08 16:00:00,0.0
KM BINAIYA,BONTANG,2025-01-08 14:00:00,2025-01-08 14:00:00,2025-01-08 17:00:00,0.0
KM JETLINER,KENDARI,2025-01-08 16:00:00,2025-01-08 16:00:00,2025-01-08 18:00:00,0.0
KM TIDAR,BAU-BAU,2025-01-08 19:00:00,2025-01-08 19:00:00,2025-01-08 22:00:00,0.0
KM LAMBELU,NUNUKAN,2025-01-08 19:00:00,2025-01-08 19:00:00,2025-01-08 21:00:00,0.0
KM LABOBAR,FAK-FAK,2025-01-08 21:00:00,2025-01-08 21:00:00,2025-01-08 23:00:00,0.0
KM TATAMAILAU,DOBO,2025-01-08 22:00:00,2025-01-08 22:00:00,2025-01-09 00:00:00,0.0
KM BK SIGUNTANG,NUNUKAN,2025-01-08 23:00:00,2025-01-08 23:00:00,2025-01-09 01:00:00,0.0
KM CIREMAI,SORONG,2025-01-09 01:00:00,2025-01-09 01:00:00,2025-01-09 04:00:00,0.0
KM SINABUNG,MAKASSAR,2025-01-09 02:00:00,2025-01-09 02:00:00,2025-01-09 04:00:00,0.0
KM BK RAYA,TANJUNG PRIOK,2025-01-09 03:00:00,2025-01-09 03:00:00,2025-01-09 11:00:00,0.0
KM BK RAYA,TANJUNG PRIOK,2025-01-09 03:00:00,2025-01-09 11:00:00,2025-01-09 11:00:00,0.0
KM WILIS,KUPANG,2025-01-09 06:00:00,2025-01-09 06:00:00,2025-01-09 14:00:00,0.0
KM EGON,LEMBAR,2025-01-09 06:00:00,2025-01-09 06:00:00,2025-01-09 09:00:00,0.0
KM KELIMUTU,TANJUNG PRIOK,2025-01-09 07:00:00,2025-01-09 11:00:00,2025-01-10 14:00:00,4.0
KM KELIMUTU,TANJUNG PRIOK,2025-01-09 07:00:00,2025-01-10 14:00:00,2025-01-10 14:00:00,0.0
KM JETLINER,WANCI,2025-01-09 07:00:00,2025-01-09 07:00:00,2025-01-09 09:00:00,0.0
KM LABOBAR,KAIMANA,2025-01-09 09:00:00,2025-01-09 09:00:00,2025-01-09 11:00:00,0.0
KM TIDAR,MAUMERE,2025-01-09 12:00:00,2025-01-09 12:00:00,2025-01-09 14:00:00,0.0
KM GUNUNG DEMPO,SORONG,2025-01-09 12:00:00,2025-01-09 12:00:00,2025-01-09 15:00:00,0.0
KM LAWIT,KUMAI,2025-01-09 13:00:00,2025-01-09 13:00:00,2025-01-09 15:00:00,0.0
KM DOBONSOLO,SURABAYA,2025-01-09 13:00:00,2025-01-09 13:00:00,2025-01-09 17:00:00,0.0
KM LAWIT,KUMAI,2025-01-09 13:00:00,2025-01-09 15:00:00,2025-01-09 17:00:00,0.0
KM KELUD,BELAWAN,2025-01-09 13:00:00,2025-01-09 13:00:00,2025-01-09 16:00:00,0.0
KM TILONGKABILA,LEMBAR,2025-01-09 14:00:00,2025-01-09 14:00:00,2025-01-09 16:00:00,0.0
KM DOROLONDA,BALIKPAPAN,2025-01-09 17:00:00,2025-01-09 17:00:00,2025-01-09 19:00:00,0.0
KM AWU,SURABAYA,2025-01-09 17:00:00,2025-01-09 17:00:00,2025-01-10 00:00:00,0.0
KM TATAMAILAU,TIMIKA,2025-01-09 18:00:00,2025-01-09 18:00:00,2025-01-09 20:00:00,0.0
KM TIDAR,LARANTUKA,2025-01-09 19:00:00,2025-01-09 19:00:00,2025-01-09 21:00:00,0.0
KM PANGRANGO,SAUMLAKI,2025-01-09 19:00:00,2025-01-09 19:00:00,2025-01-10 00:00:00,0.0
KM LABOBAR,DOBO,2025-01-09 20:00:00,2025-01-09 20:00:00,2025-01-09 22:00:00,0.0
KM BINAIYA,PARE-PARE,2025-01-09 20:00:00,2025-01-09 20:00:00,2025-01-09 22:00:00,0.0
KM SINABUNG,BAU-BAU,2025-01-09 20:00:00,2025-01-09 20:00:00,2025-01-09 22:00:00,0.0
KM JETLINER,KENDARI,2025-01-09 22:00:00,2025-01-09 22:00:00,2025-01-10 17:00:00,0.0
KM TIDAR,LEWOLEBA,2025-01-10 00:00:00,2025-01-10 00:00:00,2025-01-10 02:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-01-10 01:00:00,2025-01-10 01:00:00,2025-01-10 04:00:00,0.0
KM CIREMAI,SERUI,2025-01-10 03:00:00,2025-01-10 03:00:00,2025-01-10 05:00:00,0.0
KM BINAIYA,MAKASSAR,2025-01-10 04:00:00,2025-01-10 04:00:00,2025-01-10 09:00:00,0.0
KM GUNUNG DEMPO,MANOKWARI,2025-01-10 04:00:00,2025-01-10 04:00:00,2025-01-10 06:00:00,0.0
KM BK SIGUNTANG,BALIKPAPAN,2025-01-10 04:00:00,2025-01-10 04:00:00,2025-01-10 06:00:00,0.0
KM LABOBAR,TUAL,2025-01-10 05:00:00,2025-01-10 05:00:00,2025-01-10 07:00:00,0.0
KM WILIS,ENDE,2025-01-10 06:00:00,2025-01-10 06:00:00,2025-01-10 08:00:00,0.0
KM EGON,SURABAYA,2025-01-10 06:00:00,2025-01-10 06:00:00,2025-01-10 10:00:00,0.0
KM NGGAPULU,BATAM,2025-01-10 06:00:00,2025-01-10 06:00:00,2025-01-10 09:00:00,0.0
KM DOROLONDA,PANTOLOAN,2025-01-10 07:00:00,2025-01-10 07:00:00,2025-01-10 09:00:00,0.0
KM TATAMAILAU,AGATS,2025-01-10 08:00:00,2025-01-10 08:00:00,2025-01-10 10:00:00,0.0
KM TIDAR,KUPANG,2025-01-10 10:00:00,2025-01-10 10:00:00,2025-01-10 14:00:00,0.0
KM TILONGKABILA,BIMA,2025-01-10 10:00:00,2025-01-10 10:00:00,2025-01-10 14:00:00,0.0
KM SANGIANG,TERNATE,2025-01-10 11:00:00,2025-01-10 11:00:00,2025-01-10 14:00:00,0.0
KM KELUD,TANJUNG BALAI KARIMUN,2025-01-10 14:00:00,2025-01-10 14:00:00,2025-01-10 15:00:00,0.0
KM GUNUNG DEMPO,WASIOR,2025-01-10 14:00:00,2025-01-10 14:00:00,2025-01-10 15:00:00,0.0
KM SINABUNG,BANGGAI,2025-01-10 15:00:00,2025-01-10 15:00:00,2025-01-10 17:00:00,0.0
KM BK RAYA,BLINYU,2025-01-10 15:00:00,2025-01-10 15:00:00,2025-01-10 17:00:00,0.0
KM LAWIT,SEMARANG,2025-01-10 17:00:00,2025-01-10 17:00:00,2025-01-10 23:00:00,0.0
KM LAWIT,SEMARANG,2025-01-10 17:00:00,2025-01-10 23:00:00,2025-01-11 05:00:00,0.0
