Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_07_2025,1,KUMAI,2025-05-02 13:00:00,26.0,SURABAYA,0.4834790792881574
KM AWU,VOY_07_2025,2,SURABAYA,2025-05-04 18:00:00,6.0,BENOA,0.19952575186662935
KM AWU,VOY_07_2025,3,BENOA,2025-05-06 03:00:00,6.0,BIMA,0.6388776933841096
KM AWU,VOY_07_2025,4,BIMA,2025-05-07 06:00:00,2.0,WAINGAPU,0.38187783358359095
KM AWU,VOY_07_2025,5,WAINGAPU,2025-05-07 22:00:00,3.0,ENDE,0.6982164902795728
KM AWU,VOY_07_2025,6,ENDE,2025-05-08 10:00:00,2.0,KUPANG,0.0
KM AWU,VOY_07_2025,7,KUPANG,2025-05-09 01:00:00,4.0,KALABAHI,0.267852913190728
KM AWU,VOY_07_2025,8,KALABAHI,2025-05-09 18:00:00,11.0,KUPANG,0.36711152717420165
KM AWU,VOY_07_2025,9,KUPANG,2025-05-10 18:00:00,4.0,ENDE,0.06927710736523841
KM AWU,VOY_07_2025,10,ENDE,2025-05-11 11:00:00,2.0,WAINGAPU,0.39994430240417506
KM AWU,VOY_07_2025,11,WAINGAPU,2025-05-11 22:00:00,3.0,BIMA,0.1749860755484784
KM AWU,VOY_07_2025,12,BIMA,2025-05-12 15:00:00,2.0,BENOA,0.1691399572989182
KM AWU,VOY_07_2025,13,BENOA,2025-05-13 14:00:00,4.0,SURABAYA,0.3604147454003116
KM AWU,VOY_07_2025,14,SURABAYA,2025-05-14 22:00:00,4.0,KUMAI,0.30813950548622626
KM AWU,VOY_07_2025,15,KUMAI,2025-05-16 06:00:00,0.0,,0.4110366595047583
KM AWU,VOY_08_2025,1,KUMAI,2025-05-16 06:00:00,9.0,SURABAYA,0.6656981225645144
KM AWU,VOY_08_2025,2,SURABAYA,2025-05-17 18:00:00,7.0,BENOA,0.4768146901580909
KM AWU,VOY_08_2025,3,BENOA,2025-05-19 04:00:00,6.0,BIMA,0.6508580609862661
KM AWU,VOY_08_2025,4,BIMA,2025-05-20 07:00:00,2.0,WAINGAPU,0.4433431105621732
KM AWU,VOY_08_2025,5,WAINGAPU,2025-05-20 23:00:00,3.0,ENDE,0.21266598113694796
