Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_03_2025,1,SEMARANG,2025-02-07 10:00:00,660.0,SURABAYA,0.9937427213152644
KM AWU,VOY_03_2025,2,SURABAYA,2025-03-07 12:00:00,17.0,BENOA,0.6475986058210553
KM AWU,VOY_03_2025,3,BENOA,2025-03-09 09:00:00,6.0,BIMA,0.3143310234560405
KM AWU,VOY_03_2025,4,BIMA,2025-03-10 12:00:00,3.0,WAINGAPU,0.22094989603970108
KM AWU,VOY_03_2025,5,WAINGAPU,2025-03-11 05:00:00,3.0,ENDE,0.4550938450901478
KM AWU,VOY_03_2025,6,ENDE,2025-03-11 17:00:00,2.0,KUPANG,0.5375289504317968
KM AWU,VOY_03_2025,7,KUPANG,2025-03-12 08:00:00,3.0,KALABAHI,0.3960281842704071
KM AWU,VOY_03_2025,8,KALABAHI,2025-03-13 00:00:00,2.0,KUPANG,0.0
KM AWU,VOY_03_2025,9,KUPANG,2025-03-13 15:00:00,3.0,ENDE,0.42486972550340973
KM AWU,VOY_03_2025,10,ENDE,2025-03-14 07:00:00,2.0,WAINGAPU,0.35922149058025166
KM AWU,VOY_03_2025,11,WAINGAPU,2025-03-14 18:00:00,2.0,BIMA,0.5674059822726885
KM AWU,VOY_03_2025,12,BIMA,2025-03-15 10:00:00,2.0,BENOA,0.8179536924405523
KM AWU,VOY_03_2025,13,BENOA,2025-03-16 09:00:00,3.0,SURABAYA,0.400116778575784
KM AWU,VOY_03_2025,14,SURABAYA,2025-03-17 16:00:00,3.0,KUMAI,0.7441955654613772
KM AWU,VOY_03_2025,15,KUMAI,2025-03-18 23:00:00,3.0,SEMARANG,0.7729221310034666
KM AWU,VOY_03_2025,16,SEMARANG,2025-03-20 04:00:00,3.0,KUMAI,0.1272669933936636
KM AWU,VOY_03_2025,17,KUMAI,2025-03-21 07:00:00,0.0,,0.31737197052075494
KM AWU,VOY_04_2025,1,KUMAI,2025-03-21 12:00:00,3.0,SEMARANG,1.0
