Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_01_2025,1,KUMAI,2025-01-08 04:00:00,10.0,SURABAYA,0.45835933464277784
KM AWU,VOY_01_2025,2,SURABAYA,2025-01-09 17:00:00,7.0,BENOA,0.47051810186541154
KM AWU,VOY_01_2025,3,BENOA,2025-01-11 03:00:00,6.0,BIMA,0.5074984770601353
KM AWU,VOY_01_2025,4,BIMA,2025-01-12 06:00:00,2.0,WAINGAPU,0.2529518855858278
KM AWU,VOY_01_2025,5,WAINGAPU,2025-01-12 22:00:00,3.0,ENDE,0.7445702963040781
KM AWU,VOY_01_2025,6,ENDE,2025-01-13 10:00:00,2.0,KUPANG,0.32551654230661475
KM AWU,VOY_01_2025,7,KUPANG,2025-01-14 01:00:00,4.0,KALABAHI,0.3628212401440201
KM AWU,VOY_01_2025,8,KALABAHI,2025-01-14 18:00:00,22.0,KUPANG,0.5139723398891299
KM AWU,VOY_01_2025,9,KUPANG,2025-01-16 05:00:00,4.0,ENDE,0.3880424304205323
KM AWU,VOY_01_2025,10,ENDE,2025-01-16 22:00:00,3.0,WAINGAPU,0.6177527139654707
KM AWU,VOY_01_2025,11,WAINGAPU,2025-01-17 10:00:00,3.0,BIMA,0.3512302083265186
KM AWU,VOY_01_2025,12,BIMA,2025-01-18 03:00:00,3.0,BENOA,0.652454677038563
KM AWU,VOY_01_2025,13,BENOA,2025-01-19 03:00:00,6.0,SURABAYA,0.6732949743019325
KM AWU,VOY_01_2025,14,SURABAYA,2025-01-20 13:00:00,5.0,KUMAI,0.3983897049036602
KM AWU,VOY_01_2025,15,KUMAI,2025-01-21 22:00:00,0.0,,0.48822134308442766
KM AWU,VOY_02_2025,1,KUMAI,2025-01-21 22:00:00,30.0,SURABAYA,0.1953141810005422
KM AWU,VOY_02_2025,2,SURABAYA,2025-01-24 07:00:00,7.0,BENOA,0.5747107205982107
KM AWU,VOY_02_2025,3,BENOA,2025-01-25 17:00:00,6.0,BIMA,0.48047112027374245
KM AWU,VOY_02_2025,4,BIMA,2025-01-26 20:00:00,2.0,WAINGAPU,0.4211000484848495
KM AWU,VOY_02_2025,5,WAINGAPU,2025-01-27 12:00:00,3.0,ENDE,0.7094028444488598
KM AWU,VOY_02_2025,6,ENDE,2025-01-28 00:00:00,2.0,KUPANG,0.2778170497238852
KM AWU,VOY_02_2025,7,KUPANG,2025-01-28 15:00:00,4.0,KALABAHI,0.33312724541643013
KM AWU,VOY_02_2025,8,KALABAHI,2025-01-29 08:00:00,7.0,KUPANG,0.3281319890584681
KM AWU,VOY_02_2025,9,KUPANG,2025-01-30 04:00:00,4.0,ENDE,0.5285945831716664
KM AWU,VOY_02_2025,10,ENDE,2025-01-30 21:00:00,2.0,WAINGAPU,0.7988266122796801
KM AWU,VOY_02_2025,11,WAINGAPU,2025-01-31 08:00:00,3.0,BIMA,0.6388287567029722
KM AWU,VOY_02_2025,12,BIMA,2025-02-01 01:00:00,2.0,BENOA,0.5407050567001799
KM AWU,VOY_02_2025,13,BENOA,2025-02-02 00:00:00,6.0,SURABAYA,0.7449826903981189
KM AWU,VOY_02_2025,14,SURABAYA,2025-02-03 10:00:00,4.0,KUMAI,0.5662445249795248
KM AWU,VOY_02_2025,15,KUMAI,2025-02-04 18:00:00,0.0,,0.1691600633348202
KM KELUD,VOY_01_2025,1,TANJUNG PRIOK,2024-12-30 04:00:00,15.0,BATAM,0.8119113229158675
KM KELUD,VOY_01_2025,2,BATAM,2025-01-01 02:00:00,3.0,TANJUNG BALAI KARIMUN,0.6518949479766099
KM KELUD,VOY_01_2025,3,TANJUNG BALAI KARIMUN,2025-01-01 08:00:00,1.0,BELAWAN,0.5240358156222705
KM KELUD,VOY_01_2025,4,BELAWAN,2025-01-02 07:00:00,4.0,BATAM,0.49483369147452777
KM KELUD,VOY_01_2025,5,BATAM,2025-01-03 10:00:00,3.0,BELAWAN,0.6451197678179763
KM KELUD,VOY_01_2025,6,BELAWAN,2025-01-04 11:00:00,4.0,BATAM,0.24879542245402986
KM KELUD,VOY_01_2025,7,BATAM,2025-01-05 13:00:00,3.0,BELAWAN,0.38457882961178147
KM KELUD,VOY_01_2025,8,BELAWAN,2025-01-06 14:00:00,18.0,BATAM,0.572276725252758
KM KELUD,VOY_01_2025,9,BATAM,2025-01-08 07:00:00,7.0,BELAWAN,0.7175717365672536
KM KELUD,VOY_01_2025,10,BELAWAN,2025-01-09 13:00:00,3.0,TANJUNG BALAI KARIMUN,0.5419076778561691
KM KELUD,VOY_01_2025,11,TANJUNG BALAI KARIMUN,2025-01-10 14:00:00,1.0,BATAM,0.48791574094290163
KM KELUD,VOY_01_2025,12,BATAM,2025-01-10 18:00:00,3.0,TANJUNG PRIOK,0.5158622955400786
KM KELUD,VOY_01_2025,13,TANJUNG PRIOK,2025-01-12 02:00:00,0.0,,0.7686711228908318
